S/N,DATE,NAME_OF_ENTITY,NATURE_OF_BUSINESS,BUSINESS_PROJECT,CONTACT_NAME_PHONE_EMAIL_OF_PROMOTER,PROPOSED_FACILITY_AMOUNT,PURPOSE_OF_FACILITY,VALUE_CHAIN_CATEGORY,NAME_OF_BANK,BORROWING_RELATIONSHIP,FRESH_LOAN_REQUEST,REQUEST_SUBMITTED_TO_BANK,SECURITY_PROPOSED,FEASIBILITY_STUDY_AVAILABLE,HIGHLIGHTS_OF_DISCUSSION,RM_BM_NAME_PHONE_NUMBER,RM_BM_EMAIL,STATUS_UPDATE,CHALLENGES,PROPOSED_NEXT_STEPS,STATE,TARGET
228,4/2/2023,ROBUST INTERNATIONAL  LIMITED,Processing / Primary Production,EXISTING,OB10228,4000000000,"To finance the purchase of agricultural commodities for export which include sesame seeds, cashew nuts, gum Arabic, and any other agro commodity",UPSTREAM AND MIDSTREAM,Jaiz Bank Plc,YES,YES,YES,"NIRSAL PLC 50% Guarantee cover, 15% in commodities value,  5% cash cover to be warehoused etc.",YES,NIL,NIL,NIL,Jaiz Bank Plc has sent a request of 50% CRG cover to NIRSAL  Plc on behalf of Rombus. NIRSAL has approved the cover,The obligor is not willing to pay the warehouse manager charges alongside the NIRSAL guarantee fee. So he has declined using the NIRSAL cover.,The obligor is no longer interested in using the NIRSAL cover.,KANO,0
229,4/2/2023,MAIZUWO VENTURES,Primary production/Processing ,EXISTING,OB10229,30000000,Expansion of business/ Green house creation,UPSTREAM AND MIDSTREAM,"Sterling Bank Plc, Unity road",NO,YES,NO,Nil,NO,NIL,NIL,NIL,The bank is working on documentation ,The client is having challenges of high interest rate with some of the requirements not available. ,To continue to follow up with the client  and bank.,KANO,0
230,4/2/2024,HAIWAN FARMS LIMITED,Primary production,EXISTING,OB10230,20000000,Expansion of facility,UPSTREAM,"JAIZ BANK PLC, Tafawa Balewa road",YES,YES,YES,C of O,NO,NIL,NIL,NIL,The bank is still working on documentation ,"The obligor does not have reasonable turn over in his corporate account, rather he has been using his personal account for transactions. He also said the C of O to his farm house is not available which is part of the requirements  by the bank. ",To continue to follow-up with the bank.,KANO,0
231,31/01/2024,MUALIM FARMS,Primary production,EXISTING,OB10231,50000000,Expansion of business for exportation of agricultural commodities. ,UPSTREAM AND DOWNSTREAM,"JAIZ BANK PLC, Tafawa Balewa road",NO,YES,NO,Nil,NO,NIL,NIL,NIL,The client is discussing with the bank and will update Kano team on the outcome and next line of action.,The client is discussing with the bank and will update Kano team on the outcome and next line of action.,The client is discussing with the bank and will update Kano team on the outcome and next line of action.,KANO,0
232,31/01/2024,NAKAABO,FERTILIZER SALE,NEW  ,OB10232,85000000,SALES OF FERTILIZER,PRE-UPSTREAM,STANBIC IBTC,NO,YES,YES,NIL,NO,NIL,NIL,NIL,NEW,NA,"Request approved, awaiting payment of CRG FEE",KANO,0
233,14/2/2024,ZARIA FERTILIZER,FERTILIZER  BLENDING,NEW  ,OB10233,764000000,SALES OF FERTILIZER,PRE-UPSTREAM,FIDELITY,NO,YES,YES,,NO,NIL,NIL,NIL,NEW,,"Request approved, awaiting payment of CRG FEE",KANO,0
234,14/2/2024,"Jigawa state government,  Ministry of Agriculture and Rural Development ",Primary production: 40000 Wheat farming ,EXISTING,OB10234,7400000000,Primary Production 40000 hacters of wheat farming ,UPSTREAM,Afeican Develoment Bank,YES,NO,YES,Jigawa state Government ,YES,NIL,NIL,NIL,Awaiting  prooosal from the NIRSAL HQ where the fee can be clearly stated.,mantenance of time frame to meet up with the wheat calendar from planting to harvest. ,The two parties should get a round table meeting to sort out the issues delaying the processes involved in the project and the raw of NIRSAL ,JIGAWA,0
235,25/03/2024,MJD Global Vonvept ,Selling of havy and light  mechanization machines and mexhanization services,EXISTING,OB10235,200000000,Purchasing of havy and light farm mechanization machines,PRE-UPSTREAM,Fidelity Bank,NO,NO,YES,Company,YES,NIL,NIL,NIL,The bank show it commitment and further discussion is ongoing ,"The banks are showing commitments at the branch level while the higher level commications are very slow, that really demotivate the customers",Awaiting the higher response from the bank as the branch forward the request ,JIGAWA,0
236,25/03/2024,Alfaais Integrated Farm and Agro Allied Nig Ltd ,Dairy and milk production ,NEW  ,OB10236,200000000,To purchase pasteurisation and milking machines with addtional Friesians milk cows,UPSTREAM,Jaiz Bank Plc,NO,YES,YES,The farm certificate of occupancy ,YES,NIL,NIL,NIL,The deal is active and under processing ,The Bank is not communicating the progress of the transaction,Waiting for Bank approval ,YOBE,0
237,28/03/2024,Maina Jamo Farms Ltd ,Rice backward integration ,EXISTING,OB10237,1000000000,To purchase rice irrigation machineries and mechanization equipments ,UPSTREAM,Tajbank Plc,NO,YES,YES,Rice milling factory ,YES,NIL,NIL,NIL,This deal not active because the bank are not saying anything due to CBN suspension of all interventions,The obligor only interested in CBN loans with single digit not balance sheet lending,Meeting with the bank and the obligor,YOBE,0
238,28/03/2024,HASSAN GANYE ENTERPRESES ,DEALER OF FERTILIZER ,EXISTING,OB10238,900000000,TO FINANCE THE PUJRCHASE OF FERTLIZER ,UPSTREAM,JAIZ BANK ,YES,YES,YES,25% EQUITY CONTRIBUTION AND NIRSAL GUARANTEE,YES,NIL,NIL,NIL,DISCUSSION IS ONGOING,DELAY FROM THE BANK,CONTINUE FOLLOWING UP WITH THE BANK,TARABA,1
239,31/03/2024,NOOR NGESA NIG LTD,RICE CULTIVATION,EXISTING,OB10239,200000000,TO FINANCE CULTIVATION OF RICE,UPSTREAM,JAIZ BANK ,YES,YES,NO,25% EQUITY CONTRIBUTION AND NIRSAL GUARANTEE,YES,NIL,NIL,NIL,DISCUSSION IS ONGOING,DELAY FROM THE BANK,CONTINUE FOLLOWING UP WITH THE BANK,TARABA,0
240,30/01/2024,ABS ZUGACHI,FERTILIZER FINANCING ,EXISTING,OB10240,500000000,FERTILIZER PURCHASE ,PRE-UPSTREAM,STERLING,YES,YES,YES,EQUITY,NO,NIL,NIL,NIL,,LOAN AMOUNT YET TO BE AGREED ON,WAITING TO HEAR FROM BANK,GOMBE,0
241,5/5/2024,Bauchi Meat Factory ,Meat Processing ,EXISTING,OB10241,3000000000,working capital and reviving cold room and other facilities ,MIDSTREAM,Sterling Bank ,YES,YES,YES,Factory and 50% NIRSAL guarantee ,YES,NIL,NIL,NIL,The bank had a fruitful discussion with bauchi state government and the factory management. Formal request has been submitted to the bank and now waiting for official response.,High operational cost may be affect the daily revenue of 10 million naira.,Negotiating with bank to consider lower interest rate that will be convient to both parties.,BAUCHI,0
242,5/5/2024,ZAKWARAM BAFFA NIG LTD,POULTRY,EXISTING,OB10242,200000000,EXPANSION,UPSTREAM,STERLING,YES,YES,YES,LANDED PROPERTY AND ISPO,NO,NIL,NIL,NIL,The official request were submitted yesterday.,Nil for now,waiting for the bank response.,BAUCHI,0
243,5/5/2024,BAUCHI FERTILIZER,FERTILIZER BLENDINFG,EXISTING,OB10243,5000000000,EXPANSION,MIDSTREAM,STERLING,YES,YES,NO,ISPO,NIL,NIL,NIL,NIL,formal request will be ready after sallah,interest rate and moratarium,to meet with the bank and company next sallah,BAUCHI,0
